V(grid)	V(plate)
-3.465293e+00	3.525889e+02
-3.418418e+00	3.508130e+02
-3.371543e+00	3.490241e+02
-3.324668e+00	3.472229e+02
-3.277793e+00	3.454100e+02
-3.230918e+00	3.435862e+02
-3.184043e+00	3.417522e+02
-3.137168e+00	3.399085e+02
-3.090293e+00	3.380557e+02
-3.043418e+00	3.361944e+02
-2.996543e+00	3.343250e+02
-2.949668e+00	3.324482e+02
-2.902793e+00	3.305641e+02
-2.855918e+00	3.286734e+02
-2.809043e+00	3.267764e+02
-2.762168e+00	3.248735e+02
-2.715293e+00	3.229650e+02
-2.668418e+00	3.210511e+02
-2.621543e+00	3.191324e+02
-2.574668e+00	3.172089e+02
-2.527793e+00	3.152810e+02
-2.480918e+00	3.133488e+02
-2.434043e+00	3.114128e+02
-2.387168e+00	3.094729e+02
-2.340293e+00	3.075294e+02
-2.293418e+00	3.055826e+02
-2.246543e+00	3.036325e+02
-2.199668e+00	3.016794e+02
-2.152793e+00	2.997233e+02
-2.105918e+00	2.977644e+02
-2.059043e+00	2.958029e+02
-2.012168e+00	2.938388e+02
-1.965293e+00	2.918723e+02
-1.918418e+00	2.899034e+02
-1.871543e+00	2.879323e+02
-1.824668e+00	2.859590e+02
-1.777793e+00	2.839837e+02
-1.730918e+00	2.820063e+02
-1.684043e+00	2.800270e+02
-1.637168e+00	2.780458e+02
-1.590293e+00	2.760629e+02
-1.543418e+00	2.740781e+02
-1.496543e+00	2.720917e+02
-1.449668e+00	2.701036e+02
-1.402793e+00	2.681139e+02
-1.355918e+00	2.661227e+02
-1.309043e+00	2.641299e+02
-1.262168e+00	2.621357e+02
-1.215293e+00	2.601400e+02
-1.168418e+00	2.581430e+02
-1.121543e+00	2.561446e+02
-1.074668e+00	2.541448e+02
-1.027793e+00	2.521438e+02
-9.809183e-01	2.501416e+02
-9.340433e-01	2.481381e+02
-8.871683e-01	2.461334e+02
-8.402933e-01	2.441275e+02
-7.934183e-01	2.421206e+02
-7.465433e-01	2.401125e+02
-6.996683e-01	2.381034e+02
-6.527933e-01	2.360932e+02
-6.059183e-01	2.340820e+02
-5.590433e-01	2.320699e+02
-5.121683e-01	2.300568e+02
-4.652933e-01	2.280428e+02
-4.184183e-01	2.260280e+02
-3.715433e-01	2.240122e+02
-3.246683e-01	2.219957e+02
-2.777933e-01	2.199785e+02
-2.309183e-01	2.179604e+02
-1.840433e-01	2.159417e+02
-1.371683e-01	2.139224e+02
-9.029336e-02	2.119024e+02
-4.341836e-02	2.098818e+02
3.456647e-03	2.078607e+02
5.033164e-02	2.058391e+02
9.720664e-02	2.038171e+02
1.440817e-01	2.017946e+02
1.909567e-01	1.997719e+02
2.378317e-01	1.977487e+02
